date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:40	56667/56667	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2006:13:41%20GMT	http://zwin.io/html/viaje/index.html	D:/project/Travelss/zwin.io/html/viaje/index.html	(from )
12:13:40	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2006:13:42%20GMT	http://zwin.io/robots.txt		(from )
12:13:41	579/579	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Apr%202021%2016:54:36%20GMT	http://zwin.io/html/viaje/assets/img/favicon.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/favicon.png	(from http://zwin.io/html/viaje/index.html)
12:13:41	144877/144877	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:26%20GMT	http://zwin.io/html/viaje/assets/css/bootstrap.min.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/bootstrap.min.css	(from http://zwin.io/html/viaje/index.html)
12:13:42	78872/78872	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:20%20GMT	http://zwin.io/html/viaje/assets/css/animate.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/animate.css	(from http://zwin.io/html/viaje/index.html)
12:13:42	7648/7648	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:28%20GMT	http://zwin.io/html/viaje/assets/css/magnific-popup.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/magnific-popup.css	(from http://zwin.io/html/viaje/index.html)
12:13:43	4904/4904	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:29%20GMT	http://zwin.io/html/viaje/assets/css/owl.carousel.min.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/owl.carousel.min.css	(from http://zwin.io/html/viaje/index.html)
12:13:43	1775/1775	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:30%20GMT	http://zwin.io/html/viaje/assets/css/slick.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/slick.css	(from http://zwin.io/html/viaje/index.html)
12:13:43	13580/13580	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:41%20GMT	http://zwin.io/html/viaje/assets/css/swiper.min.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/swiper.min.css	(from http://zwin.io/html/viaje/index.html)
12:13:44	4007/4007	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:29%20GMT	http://zwin.io/html/viaje/assets/css/nice-select.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/nice-select.css	(from http://zwin.io/html/viaje/index.html)
12:13:44	30724/30724	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Apr%202021%2016:52:29%20GMT	http://zwin.io/html/viaje/assets/css/jquery-ui.min.css	D:/project/Travelss/zwin.io/html/viaje/assets/css/jquery-ui.min.css	(from http://zwin.io/html/viaje/index.html)
